prompt,data_type,head,label,avg_window_entropy,min_window_entropy,max_window_entropy
but_beautiful,pitch,8,chick,4.6407544907966765,4.604320579500396,4.700134015434956
but_beautiful,pitch,9,chick,4.050842405295136,3.99431309357176,4.076459491182483
but_beautiful,pitch,10,chick,4.730881396062396,4.712005473700505,4.742693534131213
but_beautiful,pitch,11,chick,4.593517930803936,4.530458746014358,4.62069659115254
but_beautiful,pitch,12,chick,4.769841097102811,4.767559480802902,4.776534698906045
but_beautiful,pitch,13,chick,4.427499416274541,4.360487823854229,4.484026151323675
but_beautiful,pitch,14,chick,4.506437179071166,4.404180899905639,4.710644277095038
but_beautiful,pitch,15,chick,4.474854649589234,4.419706775912161,4.559428777842719
but_beautiful,dur,0,chick,4.700453310375972,4.6803971046260155,4.739181496231427
but_beautiful,dur,1,chick,4.731995263640687,4.717864213256328,4.742931732773944
but_beautiful,dur,2,chick,4.774047596164515,4.77297691825819,4.775458578685161
but_beautiful,dur,3,chick,4.181782577817187,4.09900463543872,4.2369372911342555
but_beautiful,dur,4,chick,4.646582375911765,4.4112146692485945,4.701301021679845
but_beautiful,dur,5,chick,4.740212752774,4.730723062259094,4.758513234153719
but_beautiful,dur,6,chick,4.258009757123992,4.10439103306014,4.645349302717482
but_beautiful,dur,7,chick,4.603229404748161,4.585803360357106,4.638729479429719
but_beautiful,dur,8,chick,4.52901372776225,4.416532362292655,4.551963494551518
but_beautiful,dur,9,chick,4.300818187929369,4.123230223008505,4.426390519823769
but_beautiful,dur,10,chick,4.725173810298229,4.710094712334055,4.775525221813776
but_beautiful,dur,11,chick,4.374532242301148,4.255014371193739,4.490860130699691
but_beautiful,dur,12,chick,4.7333233870036775,4.723784978094633,4.748476391825813
but_beautiful,dur,13,chick,4.650906911377197,4.628883542089724,4.7096458471377245
but_beautiful,dur,14,chick,4.641563175739369,4.597889406037906,4.699978516250206
but_beautiful,dur,15,chick,4.466229514080472,4.427088277343294,4.579157683704552
but_beautiful,time,0,chick,4.226615632620755,4.149760679446616,4.3201989868338195
but_beautiful,time,1,chick,4.666686166856744,4.647031324091829,4.71983542031052
but_beautiful,time,2,chick,4.738184392543474,4.727792271244604,4.749516579102641
but_beautiful,time,3,chick,4.708794658988537,4.636236352356287,4.7459851997418525
but_beautiful,time,4,chick,4.609817698714328,4.542517824907488,4.694869978649041
but_beautiful,time,5,chick,4.583041741849992,4.420885827657956,4.627234593124219
but_beautiful,time,6,chick,4.478909743274926,4.314711288726814,4.702771667767714
but_beautiful,time,7,chick,4.5184119244992065,4.465135685260507,4.579472891756072
but_beautiful,time,8,chick,4.5796181217603715,4.492170284533021,4.690295749428408
but_beautiful,time,9,chick,4.576919506919596,3.872788616017809,4.663079544143412
but_beautiful,time,10,chick,4.365135900177959,4.261124666086488,4.547260684597356
but_beautiful,time,11,chick,4.587274259447497,4.538931235690265,4.6125942841430385
